2018-12-21 10:17:01.003 [JavaFX Application Thread] INFO  DatabaseConfig.java->getConnection, line68: using connection url:jdbc:mysql://localhost:3306/mysql?useUnicode=true&useSSL=false&characterEncoding=utf8
2018-12-21 10:18:37.507 [JavaFX Application Thread] INFO  DatabaseConfig.java->getConnection, line68: using connection url:jdbc:mysql://localhost:3306/mysql?useUnicode=true&useSSL=false&characterEncoding=utf8
2018-12-21 10:18:47.820 [JavaFX Application Thread] INFO  DatabaseConfig.java->getConnection, line68: using connection url:jdbc:mysql://localhost:3306/mysql?useUnicode=true&useSSL=false&characterEncoding=utf8
2018-12-21 10:18:48.931 [JavaFX Application Thread] INFO  DatabaseConfig.java->getConnection, line68: using connection url:jdbc:mysql://localhost:3306/mysql?useUnicode=true&useSSL=false&characterEncoding=utf8
2018-12-21 10:18:58.803 [JavaFX Application Thread] INFO  DatabaseConfig.java->getConnection, line68: using connection url:jdbc:mysql://localhost:3306/mysql?useUnicode=true&useSSL=false&characterEncoding=utf8
2018-12-21 10:19:14.155 [JavaFX Application Thread] INFO  DatabaseConfig.java->getConnection, line68: using connection url:jdbc:mysql://localhost:3306/mysql?useUnicode=true&useSSL=false&characterEncoding=utf8
2018-12-21 10:19:16.147 [JavaFX Application Thread] INFO  DatabaseConfig.java->getConnection, line68: using connection url:jdbc:mysql://localhost:3306/mysql?useUnicode=true&useSSL=false&characterEncoding=utf8
2018-12-21 10:19:31.604 [JavaFX Application Thread] INFO  DatabaseConfig.java->getConnection, line68: using connection url:jdbc:mysql://localhost:3306/mysql?useUnicode=true&useSSL=false&characterEncoding=utf8
2018-12-21 10:19:35.323 [JavaFX Application Thread] INFO  DatabaseConfig.java->getConnection, line68: using connection url:jdbc:mysql://localhost:3306/mysql?useUnicode=true&useSSL=false&characterEncoding=utf8
2018-12-21 10:19:40.035 [JavaFX Application Thread] INFO  DatabaseConfig.java->getConnection, line68: using connection url:jdbc:mysql://localhost:3306/mysql?useUnicode=true&useSSL=false&characterEncoding=utf8
2018-12-21 10:19:41.555 [JavaFX Application Thread] INFO  DatabaseConfig.java->getConnection, line68: using connection url:jdbc:mysql://localhost:3306/mysql?useUnicode=true&useSSL=false&characterEncoding=utf8
